Company Name,old_fv,new_fv,date,code
Geojit Fin,10,1,26-09-2006,GEOJITFSL
Voltas,10,1,22-09-2006,VOLTAS
Blue Star,10,2,20-09-2006,BLUESTARCO
Panyam Cements,100,10,13-09-2006,PANYAMCEM
Simplex Infra,10,2,13-09-2006,SIMPLEXINF
EIH,10,2,12-09-2006,EIHOTEL
Exide Ind,10,1,08-09-2006,EXIDEIND
Hotel Leela,10,2,08-09-2006,HOTELEELA
Super Spinning,10,1,01-09-2006,SUPERSPIN
Godrej Ind,6,1,25-08-2006,GODREJIND
Godrej Consumer,4,1,24-08-2006,GODREJCP
Gemini Comm,10,5,18-08-2006,GEMINI
GV Films,1,10,16-08-2006,NA
CG Power ,10,2,10-08-2006,CGPOWER
SVC Resources,10,2,03-08-2006,NA
Bajaj Hind Sug,10,1,31-07-2006,NA
Anuh Pharma,10,5,31-07-2006,NA
Jyoti Structure,10,2,28-07-2006,JYOTISTRUC
Cyient,10,5,28-07-2006,CYIENT
Unitech,10,2,23-06-2006,UNITECH
AstraZeneca,10,2,15-06-2006,ASTRAZEN
Siemens,10,2,13-06-2006,SIEMENS
United Brewerie,10,1,09-06-2006,UBL
Birla Capital,10,2,08-06-2006,NA
Essel Propack,10,2,08-06-2006,ESSELPACK
Cholamandalam,10,2,31-05-2006,CHOLAHLDNG
Monozyme,10,5,30-05-2006,NA
Hind Dorr-Olive,10,2,26-05-2006,HINDDORROL
Grindwell Norto,10,5,26-05-2006,GRINDWELL
National Perox,100,10,26-05-2006,NATPEROXID
Ansal Propertie,10,5,10-05-2006,ANSALAPI
Sterlite Ind,5,2,05-05-2006,STER
Mah Seamless,10,5,18-04-2006,MAHSEAMLES
AshirwadCapital,10,1,03-04-2006,NA
Thermax,10,2,31-03-2006,THERMAX
IVRCL,10,2,29-03-2006,IVRCLINFRA
Harig Crankshaf,10,1,29-03-2006,HARIGCRANK
Ashapura Mine,10,2,23-03-2006,ASHAPURMIN
Commex Tech,10,2,21-03-2006,NA
Gati,10,2,21-03-2006,GATI
Jubilant Life,5,1,17-03-2006,JUBILANT
Chemplast Sanma,10,1,08-03-2006,CHEMPLAST
KCP Sugar,10,1,08-03-2006,KCPSUGIND
Supertex Ind,10,1,08-03-2006,NA
Jaybharat Text,10,5,03-03-2006,NA
Vimta Labs,10,2,24-02-2006,VIMTALABS
Torrent Pharma,10,5,20-02-2006,TORNTPHARM
VIP Clothing,10,2,16-02-2006,VIPCLOTHNG
Religare Tech,10,5,15-02-2006,NA
Lincoln Pharma,10,2,08-02-2006,LINCOLN
Donear Ind,10,2,27-01-2006,DONEAR
Netlink Sol,10,1,13-01-2006,NA
Aarti Ind,10,5,13-01-2006,AARTIIND
Action Financia,10,1,10-01-2006,NA
Guj Amb Exports,10,2,06-01-2006,GAEL
Antarctica,10,1,06-01-2006,ANTGRAPHIC
Radico Khaitan,10,2,06-01-2006,RADICO
Prime Property,10,5,02-01-2006,NA
Coromandel Int,10,2,02-01-2006,COROMANDEL
Kanoria Chem,10,5,31-12-2007,KANORICHEM
Jaiprakash Asso,10,2,17-12-2007,JPASSOCIAT
Kriti Ind,10,1,13-12-2007,KRITIIND
Chandni Textile,1,10,30-11-2007,NA
Lancor Holdings,10,2,26-11-2007,NA
Banco Products,10,2,23-11-2007,BANCOINDIA
Subros,10,2,20-11-2007,SUBROS
Zigma Software,1,10,19-11-2007,NA
Guj Mineral,10,2,08-11-2007,GMDCLTD
Ruchi Soya,10,2,29-10-2007,RUCHISOYA
Vipul,10,2,29-10-2007,VIPULLTD
West Coast Pap,10,2,26-10-2007,WSTCSTPAPR
GOCL Corp,10,2,26-10-2007,GOCLCORP
Sri Adhikari,2,10,25-10-2007,SABTN
Birla Precision,10,2,24-10-2007,NA
Faze Three Exp,2,10,24-10-2007,FAZETHREE
ICSA,10,2,23-10-2007,ICSA
Advani Hotels,10,2,22-10-2007,ADVANIHOTR
Asian Electroni,10,5,22-10-2007,ASIANELEC
BL Kashyap,10,5,22-10-2007,BLKASHYAP
Lloyds Metals,10,2,19-10-2007,LLOYDMETAL
Peninsula Land,10,2,16-10-2007,PENINLAND
Arshiya,10,2,12-10-2007,ARSHIYA
Man Industries,10,5,09-10-2007,MANINDS
Anant Raj,10,2,08-10-2007,ANANTRAJ
Compucom Soft,10,2,08-10-2007,COMPUSOFT
Jai Corp,10,1,05-10-2007,JAICORPLTD
Shilpa,10,2,28-09-2007,SHILPAMED
GMR Infra,10,2,28-09-2007,GMRINFRA
Batliboi,10,5,26-09-2007,BATLIBOI
Amara Raja Batt,10,2,19-09-2007,AMARAJABAT
Electrosteel,10,1,17-09-2007,ELECTCAST
Ahluwalia,10,2,14-09-2007,AHLUCONT
Glenmark,2,1,10-09-2007,GLENMARK
Usha Martin,5,1,29-08-2007,USHAMART
Hind Rectifiers,10,2,28-08-2007,HIRECT
NIIT,10,2,24-08-2007,NIITLTD
Sanghvi Movers,10,2,23-08-2007,SANGHVIMOV
Everest Kanto,10,2,21-08-2007,EKC
Matra Realty,10,5,17-08-2007,NA
Apollo Tyres,10,1,17-08-2007,APOLLOTYRE
Divis Labs,10,2,03-08-2007,DIVISLAB
Modison Metals,10,1,03-08-2007,NA
Easun Reyrl,10,2,31-07-2007,EASUNREYRL
Sun TV Network,10,5,23-07-2007,SUNTV
KS Oils,10,1,18-07-2007,KSOILS
Satra Prop,10,2,09-07-2007,NA
Alchemist,1,10,05-07-2007,ALCHEM
Bharat Seats,10,2,28-06-2007,NA
ABB India,10,2,28-06-2007,ABB
CORE Education,10,2,06-06-2007,COREEDUTEC
Huhtamaki PPL,10,2,25-05-2007,PAPERPROD
Thomas Cook,10,1,14-05-2007,THOMASCOOK
Mirza Intl,10,2,24-04-2007,MIRZAINT
Action Financia,1,10,23-04-2007,NA
Punj Lloyd,10,2,29-03-2007,PUNJLLOYD
NRB Bearings,10,2,26-03-2007,NRBBEARING
Suven Life Sci,2,1,23-03-2007,SUVEN
Minaxi Textiles,10,1,21-03-2007,NA
Bombay SwadShar,10,2,20-03-2007,NA
Sapan Chemicals,1,10,15-03-2007,NA
Nirma,10,5,14-03-2007,NIRMA
